Name,Sub-Theme Name,Variable Name,Description,Time Period,Climate Model,RCP,Data Units,Recommended Renderer,Download URL,Thumbnail,File Identifier
aez_v9v2red_5m_CRUTS32_Hist_8110_100_avg,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,1981-2010,CRUTS32,Historical,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_CRUTS32_Hist_8110_100_avg.tif,,000000009
aez_v9v2red_5m_ENSEMBLE_rcp2p6_2020s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2011-2040,ENSEMBLE,RCP2.6,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp2p6_2020s.tif,,000000022
aez_v9v2red_5m_ENSEMBLE_rcp2p6_2050s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2041-2070,ENSEMBLE,RCP2.6,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp2p6_2050s.tif,,000000023
aez_v9v2red_5m_ENSEMBLE_rcp2p6_2080s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2071-2100,ENSEMBLE,RCP2.6,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp2p6_2080s.tif,,000000024
aez_v9v2red_5m_ENSEMBLE_rcp4p5_2020s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2011-2040,ENSEMBLE,RCP4.5,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp4p5_2020s.tif,,000000025
aez_v9v2red_5m_ENSEMBLE_rcp4p5_2050s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2041-2070,ENSEMBLE,RCP4.5,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp4p5_2050s.tif,,000000026
aez_v9v2red_5m_ENSEMBLE_rcp4p5_2080s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2071-2100,ENSEMBLE,RCP4.5,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp4p5_2080s.tif,,000000027
aez_v9v2red_5m_ENSEMBLE_rcp6p0_2020s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2011-2040,ENSEMBLE,RCP6.0,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp6p0_2020s.tif,,000000028
aez_v9v2red_5m_ENSEMBLE_rcp6p0_2050s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2041-2070,ENSEMBLE,RCP6.0,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp6p0_2050s.tif,,000000029
aez_v9v2red_5m_ENSEMBLE_rcp6p0_2080s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2071-2100,ENSEMBLE,RCP6.0,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp6p0_2080s.tif,,000000030
aez_v9v2red_5m_ENSEMBLE_rcp8p5_2020s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2011-2040,ENSEMBLE,RCP8.5,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp8p5_2020s.tif,,000000010
aez_v9v2red_5m_ENSEMBLE_rcp8p5_2050s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2041-2070,ENSEMBLE,RCP8.5,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp8p5_2050s.tif,,000000011
aez_v9v2red_5m_ENSEMBLE_rcp8p5_2080s,Agro-ecological Zones,Dominant AEZ class (33 classes) at 5 arc-minutes,Dominant AEZ class (33 classes) at 5 arc-minutes,2071-2100,ENSEMBLE,RCP8.5,Class,AEZ Classification (33 classes),https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/LR/aez/aez_v9v2red_5m_ENSEMBLE_rcp8p5_2080s.tif,,000000012
